                                            station  Median Income    Exits  Weighted_Exits
0             (42 St. , Grand Central, 4, 5, 6, 7, S)         131786  1702625  1190438.270279
4   (42 St., Times Square, 1, 2, 3, 7, A, C, E, N,...         188487  1166248  1166248.000000
3         (14 St., Union Square, 4, 5, 6, L, N, Q, R)         109637  1445073   840553.823346
5                     (34 St., Penn Station, 1, 2, 3)         155278  1014555   835803.377899
2       (34 St. , Herald Square, B, D, F, M, N, Q, R)          76659  1537563   625337.779353
11         (59 St., Lexington Ave., 4, 5, 6, N, Q, R)         171000   645943   586015.231820
7            (59 St., Columbus Circle, 1, A, B, C, D)         131250   817040   568933.135972
8                             (86 St. , nan, 4, 5, 6)         104514   813861   451277.109583
1                     (34 St., Penn Station, A, C, E)          51827  1604210   441098.811430
9           (Fulton St., nan, 2, 3, 4, 5, A, C, J, Z)         114412   714654   433796.460488
19                 (Canal St., nan, 6, J, N, Q, R, Z)         135573   514270   369898.861513
14  (W. 4 St, Washington Square, A, B, C, D, E, F, M)         114963   588619   359013.651323
18                            (72 St. , nan, 1, 2, 3)         115833   533987   328156.934807
6   (42 St., Port Authority Bus Terminal, 1, 2, 3,...          56764   895271   269616.276157
16  (Altantic Ave., Barclays Center, 2, 3, 4, 5, B...          87875   563426   262676.257514
10       (47-50 Sts., Rockefeller Center, B, D, F, M)          71618   650279   247081.663043
15                             (96 St., nan, 1, 2, 3)          75481   567856   227402.095296
12              (Union Turnpike -, Kew Gardens, E, F)          64428   645943   220794.089799
17               (Roosevelt Ave., nan, 7, E, F, M, R)          53574   549393   156154.963377
13                      (Main St. - Flushing, nan, 7)          39861   630613   133361.265196
